aline1,aline2,aline3,aline4,post_code,asset_type
FLAT 1 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
52 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
45-62 Cherbury Court  St Johns Estate,Hackney,London,"",N1 6TL,WalkUpBlock
55 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
46-51 Beecholme Estate  Beecholme Estate,Prout Road,Hackney,London,E5 9NS,WalkUpBlock
33 Sigdon Road,Hackney,London,"",E8 1AP,WalkUpBlock
136 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
125 Brooke Road,Hackney,London,"",N16 7RJ,WalkUpBlock
1-12 Broad Common Estate  Broad Common Estate,Osbaldeston Road,Hackney,London,N16 6NB,WalkUpBlock
34 Benthal Road,Hackney,London,"",N16 7BX,WalkUpBlock
Penshurst Road (10.39.53) DELETE? Penshurst Road,Hackney,London,"",E9 7DX,Block
36 Grayling Road,Hackney,London,"",N16 0BT,WalkUpBlock
16 Stoke Newington Common,Hackney,London,"",N16 7ES,WalkUpBlock
1-3 Walsham Close Plus 3-8 Clarke Path  Clarke Path,Hackney,London,"",N16 6QE,WalkUpBlock
Denton Way (1-3) DELETE? Denton Way,Hackney,LONDON,"",E5 0BY,WalkUpBlock
34-56 Even Shannon Court  Dynevor Road,Hackney,London,"",N16 0DB,WalkUpBlock
1-6 Marigold Court  Alexandra Mews,Hackney,LONDON,"",N4 2NG,MediumRiseBlock
1-4 & 9-12 & 17-20 & 25-28 & 33-36 & 40 Woolridge Way  Woolridge Way,Loddiges Road,Hackney,London,E9 6PP,HighRiseBlock
36-50 Newcome House  Powell Road,Hackney,London,"",E5 8DH,LowRiseBlock
60 Alkham Road,Hackney,London,"",N16 6XF,WalkUpBlock
FLAT 2 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
86 Brooke Road,Hackney,London,"",N16 7RU,WalkUpBlock
FLAT 16 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
30 Ainsworth Road,Hackney,London,"",E9 7LP,WalkUpBlock
136 Kyverdale Road,Hackney,London,"",N16 6PU,WalkUpBlock
1-69 Napier Court  Cropley Street,Hackney,London,"",N1 7HS,LowRiseBlock
158 Amhurst Road,Hackney,London,"",E8 2AZ,WalkUpBlock
FLAT 23 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
1-3 & 7-9 & 13-15 & 19-21 Lordship House  Lordship Road,Hackney,London,"",N16 0PT,LowRiseBlock
Pellerin Road (1-15 Odd) DELETE? Pellerin Road,Hackney,London,"",N16 8AY,WalkUpBlock
192--211 Nisbet House  Homerton High Street,Hackney,London,"",E9 5SA,LowRiseBlock
24 Alkham Road,Hackney,London,"",N16 7AA,WalkUpBlock
118 Milton Grove,Hackney,London,"",N16 8QY,WalkUpBlock
24 Shrubland Road,Hackney,London,"",E8 4NN,Block
19 Montague Road,Hackney,London,"",E8 2HN,Block
23-27 ODD Glenarm Road,Hackney,London,"",E5 0LY,WalkUpBlock
Flat A-D 148 Evering Road,Hackney,London,"",N16 7BD,WalkUpBlock
Galsworthy Terrace (1-7) DELETE? Galsworthy Terrace,Hackney,London,"",N16 0TS,Block
G Rogate House 8 Muir Road,Hackney,London,"",E5 8QS,HighRiseBlock
17-22 Weymouth Court Plus Shops 108-114 Weymouth Terrace  Weymouth Terrace,Hackney,LONDON,"",E2 8LT,Block
33-62 Hilborough Court  Livermere Road,Hackney,London,"",E8 4LG,WalkUpBlock
1-25 Selwood House  Woodberry Down Estate,Hackney,London,"",N4 2RN,LowRiseBlock
FLAT 28 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
17-23 ODD Shacklewell Road,Hackney,London,"",N16 7TW,WalkUpBlock
67 Chardmore Road,Hackney,LONDON,"",N16 6JA,WalkUpBlock
7-12 Keir Hardie Estate  Keir Hardie Estate,Springfield,Hackney,LONDON,E5 9AT,WalkUpBlock
335 Amhurst Road,Hackney,London,"",N16 7UX,WalkUpBlock
69 Cranwich Road,Hackney,London,"",N16 5JA,WalkUpBlock
83 Benthal Road,Hackney,London,"",N16 7AP,WalkUpBlock
FLAT 41 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
1-16 Kingsfield House  Victorian Grove,Hackney,London,"",N16 8EY,WalkUpBlock
11 Brookfield Road,Hackney,London,"",E9 5AH,WalkUpBlock
Well Street (39-43 Odd 70) DELETE? Well Street,Hackney,London,"",E9 7QX,Block
1-8 Northchurch House  Whiston Road,Hackney,LONDON,"",E2 8SQ,WalkUpBlock
155-169 ODD Manor Road,Hackney,London,"",N16 5PB,WalkUpBlock
252-271 Nisbet House  Homerton High Street,Hackney,London,"",E9 6AP,LowRiseBlock
1-6 Cromdale Court  Darenth Road,Hackney,London,"",N16 6EF,WalkUpBlock
FLAT 31 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
4 Wayland Avenue,Hackney,London,"",E8 2HP,WalkUpBlock
32 Leswin Road,Hackney,London,"",N16 7NH,WalkUpBlock
97 Holmleigh Road,Hackney,London,"",N16 5QG,WalkUpBlock
Laurel Street (1-29 Odd) DELETE? Laurel Street,Hackney,London,"",E8 3AY,Block
13-17 ODD Theydon Road,Hackney,London,"",E5 9NA,WalkUpBlock
A-e 98 Green Lanes,Hackney,London,"",N16 9EH,WalkUpBlock
9-16 Cheddington House  Whiston Road,Hackney,LONDON,"",E2 8RY,LowRiseBlock
1-22 Craven Close,Craven Walk,Hackney,London,N16 6BP,WalkUpBlock
