aline1,aline2,aline3,aline4,post_code,asset_type
4-6 & 10-12 & 16-18 & 22-24 Lordship House  Lordship Road,Hackney,London,"",N16 0PT,LowRiseBlock
129-134 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7LA,WalkUpBlock
FLAT 52 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
1-8 Upwey House  Colville Estate,Hackney,London,"",N1 5PT,WalkUpBlock
82-93 Somerford Grove Estate,Hackney,London,"",N16 7TN,WalkUpBlock
FLAT 57 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
1-12 Rochemont Walk,Hackney,London,"",E8 4SW,Block
1-26 Woodfield House  Rossington Street,Hackney,London,"",E5 8SX,LowRiseBlock
1-12 Donne House And 1-41 Herrick House  Howard Road,Hackney,London,"",N16 8PJ,HighRiseBlock
"7, 10-18 Great Eastern Buildings  Reading Lane",Hackney,London,"",E8 1FR,Block
171 Amhurst Road,Hackney,London,"",E8 2AW,WalkUpBlock
50 Albion Drive,Hackney,London,"",E8 4LX,WalkUpBlock
79-90 Sylvia Court  Cavendish Street,Hackney,London,"",N1 7PH,WalkUpBlock
146-150 EVEN & 172-180 EVEN Wick Road,Hackney,London,"",E9 5AN,WalkUpBlock
FLAT 27 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
1-6 Thalia Court  Albion Drive,Hackney,London,"",E8 4EX,WalkUpBlock
2-8 Even Samuel Close,Hackney,London,"",E8 4SG,Block
278-334 EVEN Rowley Gardens,Hackney,London,"",N4 1HP,WalkUpBlock
Carlyle House & Barrie House  Albion Road,Hackney,London,"",N16 0TX,Block
125-156 Lea View House  Springfield,Hackney,London,"",E5 9DZ,LowRiseBlock
65-80 Ashdale House  Woodberry Down Estate,Hackney,London,"",N4 2SA,HighRiseBlock
85 Durlston Road,Hackney,London,"",E5 8RP,WalkUpBlock
2-18 EVEN Jeger Avenue,Hackney,LONDON,"",E2 8BX,WalkUpBlock
Clift House 68-72  Colville Street Colvillle Estate,Hackney,London,"",N1 5FN,Block
22 Shrubland Road,Hackney,London,"",E8 4NN,Block
17 Alvington Crescent,Hackney,London,"",E8 2NN,WalkUpBlock
Hassett Road (10-40 Even) DELETE? Hassett Road,Hackney,London,"",E9 5SN,Block
17-20 Moreton Close,Hackney,London,"",E5 9EP,WalkUpBlock
Caldecott Way (44-46 Even) DELETE? Caldecott Way,Hackney,LONDON,"",E5 0DB,Block
1-40 Avebury Court  Colville Estate,Hackney,London,"",N1 5DD,LowRiseBlock
Skelton Close (10-19) DELETE? Skelton Close,Hackney,London,"",E8 3TJ,Block
14-16 EVEN Rivington Walk,Hackney,London,"",E8 4JT,WalkUpBlock
FLAT 18 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
FLAT 61 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
1-16 Blisworth House  Whiston Road,Hackney,LONDON,"",E2 8SG,WalkUpBlock
1-90 Laxfield Court  Pownall Road,Hackney,London,"",E8 4PU,LowRiseBlock
109-116 The Beckers  Rectory Road,Hackney,London,"",N16 7QT,WalkUpBlock
128-137 Fawcett Estate  Fawcett Estate,Clapton Common,Hackney,London,E5 9DQ,LowRiseBlock
1-18 Royal Oak Court  Pitfield Street,Hackney,London,"",N1 6EL,LowRiseBlock
32-38 (Even) Forest Road,Hackney,London,"",E8 3BL,Block
3 Portland Avenue,Hackney,London,"",N16 6HA,WalkUpBlock
232-249 Wrens Park House  Warwick Grove,Hackney,London,"",E5 9LT,LowRiseBlock
1-17 Highfield Court Plus 3-11 Odd New North Road,Hackney,LONDON,"",N1 6JB,Block
1-42 Godwin House  Thurtle Road,Hackney,LONDON,"",E2 8PH,HighRiseBlock
14-30 EVEN Linscott Road,Hackney,London,"",E5 0RD,WalkUpBlock
37-57 Garnham Close,Smalley Road Estate,Hackney,London,N16 7LF,WalkUpBlock
81-86 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7JY,WalkUpBlock
133-198 Lincoln Court  Bethune Road,Hackney,London,"",N16 5DZ,HighRiseBlock
9-16 Lakeside Court  Green Lanes,Hackney,London,"",N4 2LL,LowRiseBlock
1-10 Stowe House  Hawksley Court Estate,Hackney,London,"",N16 0TT,WalkUpBlock
25-48 Wilton Estate  Wilton Estate,Greenwood Road,Hackney,London,E8 1BD,WalkUpBlock
20 Alkham Road,Hackney,London,"",N16 7AA,WalkUpBlock
2-32 EVEN Berkshire Road,Hackney,London,"",E9 5LU,WalkUpBlock
1-20 St Johns Court  Queens Drive,Hackney,London,"",N4 2BD,WalkUpBlock
53-64 St Leonards Court *Demolished* New North Road,Hackney,LONDON,"",N1 6JA,WalkUpBlock
Coniston Walk (9-17) DELETE? Coniston Walk,Hackney,London,"",E9 6EP,Block
18-21 Somerford Grove Estate,Hackney,London,"",N16 7TL,WalkUpBlock
1-21 Lauriston House  Lauriston Road,Hackney,London,"",E9 7EZ,WalkUpBlock
1-11 ODD Hows Street,Hackney,LONDON,"",E2 8EE,WalkUpBlock
Myrtleberry Close (3-9) DELETE? Myrtleberry Close,Hackney,London,"",E8 3SZ,Block
57-67 ODD Moundfield Road,Hackney,London,"",N16 6TD,WalkUpBlock
87-93A ODD Walford Road,Hackney,London,"",N16 8EF,WalkUpBlock
1-46 Fields Estate  Fields Estate,Lansdowne Drive,Hackney,London,E8 4LS,HighRiseBlock
19-31 ODD Brougham Road,Hackney,London,"",E8 4PD,WalkUpBlock
FLAT 30 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
12-32a Aske House  Fanshaw Street,Hackney,London,"",N1 6JY,WalkUpBlock
19-30 Millard Close,Hackney,London,"",N16 8UU,WalkUpBlock
93-101 Regents Court  Pownall Road,Hackney,London,"",E8 4QA,WalkUpBlock
Wetherell Road (1-6) DELETE? Wetherell Road,Hackney,London,"",E9 7DB,Block
1-16 Nicholl House *Demolished* Woodberry Down Estate,Hackney,London,"",N4 2TH,HighRiseBlock
197-203 ODD Evering Road,Hackney,London,"",E5 8AN,WalkUpBlock
1-16 Ian Bowater Court  East Road,Hackney,London,"",N1 6DG,WalkUpBlock
1-6 Grasmere House  Howard Road,Hackney,London,"",N16 8PP,WalkUpBlock
67-132 Lincoln Court  Bethune Road,Hackney,LONDON,"",N16 5EA,HighRiseBlock
104-122 Summit Estate,Portland Avenue,Hackney,London,N16 6EX,WalkUpBlock
1-16 Marlowe House And 1-12 Fletcher House  Milton Gardens Estate,Hackney,London,"",N16 8TP,WalkUpBlock
1-105 Vaine House  Cassland Road,Hackney,London,"",E9 5BT,HighRiseBlock
1-40 Fleming House  Portland Rise,Hackney,London,"",N4 2PX,HighRiseBlock
1-16 Ferndale House  Manor Road,Hackney,London,"",N16 5NT,WalkUpBlock
12 Dumont Road,Hackney,London,"",N16 0NS,WalkUpBlock
1-3 Solway Close Plus 21-31 Odd Buttermere Walk  Buttermere Walk,Hackney,London,"",E8 3TA,WalkUpBlock
15-28 Patten House  Green Lanes,Hackney,London,"",N4 2NY,HighRiseBlock
1-40 Macbeth House  Arden Estate,Hackney,London,"",N1 5JG,HighRiseBlock
1-30 Orwell Court  Pownall Road,Hackney,London,"",E8 4PS,LowRiseBlock
1-9 Lavender Court  Gloucester Drive,Hackney,LONDON,"",N4 2AN,MediumRiseBlock
Somerford Estate (100 -117) DELETE? Somerford Grove Estate,Hackney,London,"",N16 7TN,WalkUpBlock
FLAT 36 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
134-144 EVEN Tudor Road,Hackney,London,"",E9 7RZ,WalkUpBlock
89 Princess May Road,Hackney,London,"",N16 8DF,WalkUpBlock
2-8 EVEN Forest Grove,Hackney,London,"",E8 3HX,WalkUpBlock
Colne Road (16-20 Con) DELETE? Colne Road,Hackney,LONDON,"",E5 0HR,Block
1-6 Lister Court  Yoakley Road,Hackney,London,"",N16 0BE,WalkUpBlock
67-71 ODD Darenth Road,Hackney,London,"",N16 6ES,WalkUpBlock
15-17 Langford Close,Hackney,London,"",E8 2JW,WalkUpBlock
1-14 Stanton Court 80 Amhurst Park,Hackney,London,"",N16 5AT,LowRiseBlock
FLAT 16 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
1-20 Clayton House  Frampton Park Road,Hackney,London,"",E9 7PG,LowRiseBlock
9-16 Northchurch House  Whiston Road,Hackney,LONDON,"",E2 8SQ,WalkUpBlock
72-105 Scriven Court  Livermere Road,Hackney,London,"",E8 4LD,LowRiseBlock
11 Seal Street,Hackney,London,"",E8 2EE,WalkUpBlock
1-44 Angrave Court  Scriven Street,Hackney,London,"",E8 4HY,HighRiseBlock
Redwald Road (71-77 Odd) DELETE? Redwald Road,Hackney,LONDON,"",E5 0JG,Block
1-80 Wayman Court  Eleanor Road (north),Hackney,London,"",E8 3NW,HighRiseBlock
123-137 ODD Manor Road,Hackney,London,"",N16 5PB,WalkUpBlock
1-8 Cheddington House  Whiston Road,Hackney,LONDON,"",E2 8RY,WalkUpBlock
11-52 Chadworth House  Green Lanes,Hackney,London,"",N4 2PB,HighRiseBlock
1-12 Chervil House and 23-28 Brooklime House  Ponsford Street,Hackney,LONDON,"",E9 6FD,MediumRiseBlock
1-28 Melbourne Court 135 Daubeney Road,Hackney,LONDON,"",E5 0EH,WalkUpBlock
Palm & Rowan Tree Courts  Tryon Crescent,Hackney,London,"",E9 7RY,Block
1-11 Churchwell Court 5 Clapton Square,Hackney,London,"",E5 8HU,WalkUpBlock
5-8 & 13-16 & 21-24 & 29-32 & 37-39 & 41-44 Woolridge Way  Woolridge Way,Loddiges Road,Hackney,London,E9 6PP,HighRiseBlock
1-40 Bracklyn Court  Wimbourne Street,Hackney,London,"",N1 7EL,LowRiseBlock
1-14 Lever Court  Poole Road,Hackney,London,"",E9 7AF,WalkUpBlock
108-118 EVEN Shepherdess Walk,Hackney,London,"",N1 7JN,WalkUpBlock
FLAT 51 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
9-15 ODD Penshurst Road,Hackney,London,"",E9 7DX,WalkUpBlock
49-59 ODD Clarissa Street,Hackney,London,"",E8 4HJ,WalkUpBlock
1-40 Quested Court  Brett Road,Hackney,London,"",E8 1JS,WalkUpBlock
27-37 ODD Caldecott Way,Hackney,LONDON,"",E5 0DA,WalkUpBlock
1-2 Kirkland Walk,Hackney,London,"",E8 3SY,Block
Crosby Walk (1-7) DELETE? Crosby Walk,Hackney,London,"",E8 3DW,Block
20-64 Moneyer House  Provost Estate,Hackney,London,"",N1 7RB,WalkUpBlock
14-55 Weston Court 20 Queens Drive,Hackney,London,"",N4 2XD,HighRiseBlock
63-106 Cherbury Court  St Johns Estate,Hackney,London,"",N1 6TR,HighRiseBlock
10 April Street,Hackney,London,"",E8 2EF,Block
1-16 Oxted Court  Holmleigh Road Estate,Hackney,London,"",N16 5RH,WalkUpBlock
35 Moresby Road,Hackney,London,"",E5 9LE,WalkUpBlock
1-7 ODD Howard Road,Hackney,London,"",N16 8PG,WalkUpBlock
25-26 Rivington Walk,Hackney,London,"",E8 4JT,WalkUpBlock
67 Benthal Road,Hackney,London,"",N16 7AR,WalkUpBlock
Daubeney Road (218-228 Even) DELETE? Ambergate Court,Daubeney Road,LONDON,"",E5 0EP,Block
16-18 Mary Seacole Close,Hackney,London,"",E8 4TA,WalkUpBlock
13-20 Wilkinson House Cranston Estate,Hackney,London,"",N1 6TH,LowRiseBlock
45-104 Evelyn Court  Evelyn Walk,Hackney,London,"",N1 7PJ,HighRiseBlock
65-80 Burtonwood House  Woodberry Down Estate,Hackney,London,"",N4 2RY,HighRiseBlock
1-20 Drummond House  Goldsmiths Row,Hackney,LONDON,"",E2 8QU,LowRiseBlock
25-28 Lydford Close Plus 17-31 Odd Pellerin Road  Pellerin Road,Hackney,London,"",N16 8AT,WalkUpBlock
1-8 Avon House  Clissold Crescent,Hackney,London,"",N16 9LH,WalkUpBlock
15-20 Woodbridge Court 231 Albion Road,Hackney,London,"",N16 9JY,WalkUpBlock
59 Powerscroft Road,Hackney,London,"",E5 0PU,WalkUpBlock
1-3 Magnin Close,Hackney,London,"",E8 4LF,WalkUpBlock
62 Benthal Road,Hackney,London,"",N16 7DA,WalkUpBlock
22-24 EVEN Rivington Walk,Hackney,London,"",E8 4JT,WalkUpBlock
18-130 EVEN Marlborough Avenue,Hackney,London,"",E8 4SL,WalkUpBlock
163-174 Fellows Court  Weymouth Terrace,Hackney,LONDON,"",E2 8LQ,WalkUpBlock
49 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
2-36 EVEN Bakers Hill,Hackney,London,"",E5 9HL,LowRiseBlock
13-18 Wilton Estate  Wilton Estate,Greenwood Road,Hackney,London,E8 1BD,WalkUpBlock
1-12 Woolstone House  Whiston Road,Hackney,LONDON,"",E2 8RT,WalkUpBlock
1-8 Muscott House  Whiston Road,Hackney,LONDON,"",E2 8RZ,WalkUpBlock
1-30 Briggeford Close  Briggeford Close,Hackney,London,"",E5 8RE,WalkUpBlock
Browning House (1-46) DELETE? Shakespear Walk,Hackney,London,"",N16 8TL,LowRiseBlock
1-20 Shaftesbury Court  Shaftesbury Street,Hackney,London,"",N1 7HL,WalkUpBlock
1-36 Inglethorpe House Briggeford Close  Briggeford Close,Hackney,London,"",E5 8RE,Block
37 Londesborough Road,Hackney,London,"",N16 8RN,WalkUpBlock
89-96 Fields Estate  Fields Estate,Lansdowne Drive,Hackney,London,E8 4LS,WalkUpBlock
21 Ardleigh Road,Hackney,London,"",N1 4HS,WalkUpBlock
1-20 April Court  Teale Street,Hackney,LONDON,"",E2 9AA,LowRiseBlock
1-30 Higgins House  Colville Estate,Hackney,London,"",N1 5PR,LowRiseBlock
Pellerin Road (17-31 Odd) DELETE? Pellerin Road,Hackney,London,"",N16 8AY,WalkUpBlock
6 April Street,Hackney,London,"",E8 2EF,Block
Glyn Road (80.139.150) DELETE? Glyn Road,Hackney,LONDON,"",E5 0JT,Block
1-7 Odd Theydon Road Plus 11-18 Lowestoft Close  Lowestoft Close,Hackney,London,"",E5 9NQ,WalkUpBlock
1-15 Orchid Court  Queens Drive,Hackney,London,"",N4 2DB,MediumRiseBlock
8-16 Inver Close,Hackney,London,"",E5 9NW,WalkUpBlock
113 Foulden Road,Hackney,London,"",N16 7UH,WalkUpBlock
28-33 Fawcett Estate  Fawcett Estate,Clapton Common,Hackney,London,E5 9DG,WalkUpBlock
1-30 Laxfield Court  Pownall Road,Hackney,London,"",E8 4PU,LowRiseBlock
89 Albion Drive,Hackney,London,"",E8 4LT,WalkUpBlock
81-91 ODD Moundfield Road,Hackney,London,"",N16 6TD,WalkUpBlock
31-36 Wilton Estate  Wilton Estate,Greenwood Road,Hackney,London,E8 1BD,WalkUpBlock
3-4 Moye Close Plus 97  Goldsmiths Row,Hackney,LONDON,"",E2 8QR,WalkUpBlock
1-16 Blake House  Shakspeare Walk,Hackney,London,"",N16 8TN,WalkUpBlock
69-86 Broad Common Estate  Broad Common Estate,Osbaldeston Road,Hackney,London,N16 6NH,HighRiseBlock
11-14 Sotheran Close plus 7-9 Magnin Close plus 14-16 EVEN Rivington Walk Sotheran Close,Hackney,London,"",E8 4LH,Block
1-34 Dorset Court  Hertford Road,Hackney,London,"",N1 4SD,WalkUpBlock
136-160 Wrens Park House  Warwick Grove,Hackney,London,"",E5 9LP,LowRiseBlock
FLAT 8 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
FLAT 21 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
6 Fountayne Road,Hackney,London,"",N16 7DX,Block
45-67 ODD Southwold Road,Hackney,London,"",E5 9PH,WalkUpBlock
10-20 Even Aitken Close,Hackney,London,"",E8 4SQ,Block
38-56 even Brownlow Road,Hackney,London,"",E8 4NR,Block
Glyn Road (25.35.37.38.58.62.6 DELETE? Glyn Road,Hackney,LONDON,"",E5 0JD,Block
97-102 Clinger Court  Hobbs Place Estate,Hackney,London,"",N1 5JY,WalkUpBlock
1-30 Sylvia Court  Cavendish Street,Hackney,London,"",N1 7PD,LowRiseBlock
1-20 Avenue House  Cazenove Road,Hackney,London,"",N16 6AP,LowRiseBlock
46-69 Napier Court  Cropley Street,Hackney,London,"",N1 7HS,HighRiseBlock
26-44 Allerton House  Provost Estate,Hackney,London,"",N1 7QX,WalkUpBlock
1-10 Haynes House  Barnabas Road,Hackney,London,"",E9 5SE,WalkUpBlock
1-62 Fellows Court  Weymouth Terrace,Hackney,LONDON,"",E2 8LP,WalkUpBlock
1-12 Aske House  Fanshaw Street,Hackney,London,"",N1 6JY,WalkUpBlock
1-63 Summit Estate,Portland Avenue,Hackney,London,N16 6EU,HighRiseBlock
4 St Andrews Grove,Hackney,London,"",N16 5NE,LowRiseBlock
Turner Court 1-29 Plus 1 New North Road Plus 67 Bevenden Str  Bevenden Street,Hackney,LONDON,"",N1 6FZ,Block
8 Horton Road,Hackney,London,"",E8 1DP,Block
9-21 Odd Ainsworth Road Plus 28-56 Even Kingshold Road  Kingshold Road,Hackney,London,"",E9 7JF,Block
3-5 Cressington Close,Hackney,London,"",N16 8AN,WalkUpBlock
1-29 Goodrich House  Amhurst Park,Hackney,London,"",N16 5AW,LowRiseBlock
26 Farleigh Road,Hackney,London,"",N16 7TH,WalkUpBlock
60-88 EVEN Mabley Street,Hackney,London,"",E9 5RL,WalkUpBlock
1-23 Wellday House  Cassland Road,Hackney,London,"",E9 5AL,WalkUpBlock
1-60 Broadway House  Jackman Street,Hackney,London,"",E8 4QY,LowRiseBlock
25-36 Danby House  Frampton Park Road,Hackney,London,"",E9 7RD,LowRiseBlock
9 Bouverie Road,Hackney,London,"",N16 0AH,WalkUpBlock
1-42 Elmbridge Walk,Blackstone Estate,Hackney,London,E8 3HA,WalkUpBlock
42-62 Queen Elizabeths Close,Hackney,London,"",N16 0HP,HighRiseBlock
39 Wetherell Road,Hackney,London,"",E9 7DB,WalkUpBlock
*DELETE* 27 Wilderton Road,Hackney,London,"",N16 5QY,WalkUpBlock
69-102 Geffrye Court  Geffrye Estate,Hackney,London,"",N1 6RP,HighRiseBlock
21-41 Queen Elizabeths Close,Hackney,London,"",N16 0HL,HighRiseBlock
65-84 Evelyn Court  Evelyn Walk,Hackney,London,"",N1 7PS,HighRiseBlock
1-29 Rosalind House  Arden Estate,Hackney,LONDON,"",N1 6RR,LowRiseBlock
Glyn Road (211.271.281) DELETE? Glyn Road,Hackney,LONDON,"",E5 0JR,Block
31-60 Laxfield Court  Pownall Road,Hackney,London,"",E8 4PU,LowRiseBlock
61-80 Queensbridge Court  Queensbridge Road,Hackney,LONDON,"",E2 8PQ,LowRiseBlock
1-14 Dycer House  Wick Road,Hackney,London,"",E9 5AS,WalkUpBlock
1-16 Vince Court  Charles Square Estate,Hackney,London,"",N1 6EA,WalkUpBlock
135-140 Parkside Estate  Parkside Estate,Rutland Road,Hackney,London,E9 7LA,WalkUpBlock
1-6 Langton Lodge 44-48 Palatine Road,Hackney,London,"",N16 8SU,WalkUpBlock
1-9 Thornbury Close,Hackney,London,"",N16 8UX,WalkUpBlock
4 Middleton Road,Hackney,London,"",E8 4BL,WalkUpBlock
1-6 Kilpatrick Court  Darenth Road,Hackney,London,"",N16 6EE,WalkUpBlock
Tavistock Close (1-8) DELETE? Tavistock Close,Hackney,London,"",N16 8UZ,WalkUpBlock
1-36 Ross Court 3 Napoleon Road,Hackney,LONDON,"",E5 8TE,HighRiseBlock
227-238 Lea View House  Springfield,Hackney,London,"",E5 9EB,LowRiseBlock
7 April Street,Hackney,London,"",E8 2EF,Block
1-103 Debenham Court  Pownall Road,Hackney,London,"",E8 4PY,LowRiseBlock
FLAT 27 BERRYSIDE APARTMENTS  SWAN LANE,HACKNEY,LONDON,"",N4 2GY,Block
25-35 ODD Thrasher Close,Hackney,London,"",E8 4DZ,WalkUpBlock
10-12 Yatesbury Court  Studley Close,Hackney,London,"",E5 0TZ,WalkUpBlock
13-24 Melford Court 37 39 Upper Clapton Road,Hackney,London,"",E5 8AZ,WalkUpBlock
158 Osbaldeston Road,Hackney,London,"",N16 6NJ,WalkUpBlock
Oswald Street (28-48 Even) DELETE? Oswald Street,Hackney,London,"",E5 0BT,Block
41 Nevill Road,Hackney,London,"",N16 8SW,Block
1-90 Lancresse Court  De Beauvoir Estate,Hackney,London,"",N1 5TE,HighRiseBlock
7-12 Alford Court  Shepherdess Walk,Hackney,London,"",N1 7JW,WalkUpBlock
Glenarm Road (134.141.174) DELETE? Glenarm Road,Hackney,London,"",E5 0NA,Block
150 Lansdowne Drive,Hackney,London,"",E8 4NF,WalkUpBlock
17-23 ODD Forest Grove,Hackney,London,"",E8 3HX,WalkUpBlock
28-38 EVEN Yorkshire Close,Hackney,London,"",N16 8EX,WalkUpBlock
63 Lingwood Road,Hackney,London,"",E5 9BN,WalkUpBlock
361-375 Banister House  Homerton High Street,Hackney,London,"",E9 6BU,LowRiseBlock
66 Well Street,Hackney,London,"",E9 7JA,WalkUpBlock
2-11 *Delmolished* Towncourt Path,Hackney,London,"",N4 2TJ,WalkUpBlock
1-18 James Anderson Court  Kingsland Road,Hackney,LONDON,"",E2 8BE,WalkUpBlock
Brookfield Road (9.33) DELETE? Brookfield Road,Hackney,London,"",E9 5AH,Block
1-15 Marshall House  Cranston Estate,Hackney,London,"",N1 6TX,HighRiseBlock
Staveley Close (19-28) DELETE? Staveley Close,Hackney,London,"",E9 6DY,WalkUpBlock
34 Bayston Road,Hackney,London,"",N16 7LT,WalkUpBlock
FLAT 38 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
FLAT 16 BLUEBELL APARTMENTS  Swan Lane,Hackney,London,"",N4 2GZ,Block
125-132 The Beckers  Rectory Road,Hackney,London,"",N16 7QT,WalkUpBlock
1-6 Crofts House  Teale Street,Hackney,LONDON,"",E2 8RB,WalkUpBlock
1-35 Knaresborough House  Woodberry Down Estate,Hackney,London,"",N4 2TS,LowRiseBlock
1-27 Sloane House  Loddiges Road,Hackney,London,"",E9 7NR,HighRiseBlock
7-8 & 15-16 Priory Court  Brooksbys Walk,Hackney,London,"",E9 6DG,WalkUpBlock
Queensbridge Road (441-445 Odd DELETE? Queensbridge Road,Hackney,London,"",E8 3NH,Block
Redwald Road (43-53 Odd) DELETE? Redwald Road,Hackney,LONDON,"",E5 0JG,Block
1-12 Popham Court 42 Nevill Road,Hackney,London,"",N16 8SQ,WalkUpBlock
22 Goulton Road,Hackney,London,"",E5 8HA,WalkUpBlock
1-7 ODD Benthal Road,Hackney,London,"",N16 7AT,WalkUpBlock
19-53 ODD Church Walk  Churchill Walk,Hackney,London,"",E9 6EU,WalkUpBlock
Ferncliffe Road 23-27 Odd DELETE? Ferncliff Road,Hackney,London,"",E8 2HX,WalkUpBlock
1-8 Queensdown House  Queensdown Road,Hackney,London,"",E5 8NW,WalkUpBlock
1-8 Melford Court 37 39 Upper Clapton Road,Hackney,London,"",E5 8AZ,WalkUpBlock
292-311 Nisbet House  Homerton High Street,Hackney,LONDON,"",E9 6AR,LowRiseBlock
25 Thistlewaite Road,Hackney,London,"",E5 0QG,WalkUpBlock
1-10 Charmian House  Arden Estate,Hackney,London,"",N1 6QA,WalkUpBlock
2-4 Even Theydon Road Plus 6-9 Halesworth Close  Halesworth Close,Hackney,London,"",E5 9PW,WalkUpBlock
19 Sigdon Road,Hackney,London,"",E8 1AP,WalkUpBlock
1-10 & 15-20 April Street,Hackney,London,"",E8 2EF,WalkUpBlock
Napier Grove (54-59) DELETE? Napier Grove,Hackney,London,"",N1 7HX,Block
FLAT 12 MAPLEWOOD APARTMENTS  Katherine Close,Woodberry Grove,London,"",N4 1FP,Block
31-60 Orwell Court  Pownall Road,Hackney,London,"",E8 4PS,LowRiseBlock
66 Mildenhall Road,Hackney,London,"",E5 0RU,WalkUpBlock
35 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
7 Moulins Road,Hackney,London,"",E9 7EL,WalkUpBlock
16-36 Garnham Close,Smalley Road Estate,Hackney,London,N16 7LF,WalkUpBlock
21 Clonbrock Road,Hackney,London,"",N16 8RS,WalkUpBlock
129-139 & 152-162 Nye Bevan Estate,Hackney,LONDON,"",E5 0AH,WalkUpBlock
12-26 EVEN Shacklewell Road,Hackney,London,"",N16 7TU,WalkUpBlock
12 De Beauvoir Square,Hackney,London,"",N1 4LD,WalkUpBlock
58-80 EVEN Mount Pleasant Hill,Hackney,London,"",E5 9NF,WalkUpBlock
103-113 Lea View House  Springfield,Hackney,London,"",E5 9DZ,WalkUpBlock
31 Shrubland Road,Hackney,London,"",E8 4NL,WalkUpBlock
17-26 Blackwell Close,Hackney,London,"",E5 0TA,Block
1-6 Millard Close Plus 1-12 Hayling Close  Hayling Close,Hackney,London,"",N16 8UR,WalkUpBlock
1-20 Knightland House  Knightland Road,Hackney,London,"",E5 9HT,LowRiseBlock
22-29 (DELETE) Lilian Close,Hackney,London,"",N16 0SG,WalkUpBlock
160-162 EVEN Graham Road,Hackney,London,"",E8 1BS,WalkUpBlock
Daubeney Road (230-240) DELETE? Ambergate Court,Daubeney Road,LONDON,"",E5 0EP,Block
FLAT 37 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
1-58 Glendown House  Amhurst Road,Hackney,London,"",E8 2AR,LowRiseBlock
75-79 ODD Marlborough Avenue,Hackney,London,"",E8 4JR,WalkUpBlock
68 Colvestone Crescent,Hackney,London,"",E8 2LJ,WalkUpBlock
238 Evering Road,Hackney,London,"",E5 8AJ,WalkUpBlock
43-66 Mapledene Estate  Mapledene Estate,Mapledene Road,Hackney,London,E8 3LN,WalkUpBlock
37-53 ODD Albion Grove,Hackney,LONDON,"",N16 8RE,WalkUpBlock
49-60 Broadway House  Jackman Street,Hackney,London,"",E8 4QY,LowRiseBlock
115 *DELETE* Brooke Road,Hackney,London,"",N16 7RJ,WalkUpBlock
1-7 Odd Swinnerton Street Plus 7-14 Castle Close  Castle Close,Hackney,London,"",E9 5TN,WalkUpBlock
2 Swan Lane,Hackney,London,"",N4 2NF,Block
1-16 Burtonwood House  Woodberry Down Estate,Hackney,London,"",N4 2RX,HighRiseBlock
FLAT 49 HORNBEAM APARTMENTS  Hornbeam Apartments,Seven Sisters Road,London,"",N4 1JU,Block
(Blk) 17 Clapton Terrace,Hackney,London,"",E5 9BW,WalkUpBlock
27-71 Scriven Court  Livermere Road,Hackney,London,"",E8 4LD,LowRiseBlock
*DELETE* 7 Castlewood Road,Hackney,London,"",N16 6DU,WalkUpBlock
1-25 Forsyth House  Frampton Park Road,Hackney,London,"",E9 7PB,LowRiseBlock
1-32 Matthias House  Howard Road,Hackney,London,"",N16 8PT,LowRiseBlock
Lydford Close (29-34) DELETE? Lydford Close,Hackney,London,"",N16 8UT,Block
41-43 Palatine Road,Hackney,London,"",N16 8SY,WalkUpBlock
Morpeth Road (19-28) DELETE? Morpeth Road,Hackney,London,"",E9 7LD,Block
Laurel Street (2-14 Even) DELETE? Laurel Street,Hackney,London,"",E8 3AY,Block
212-231 Nisbet House  Homerton High Street,Hackney,London,"",E9 5SA,LowRiseBlock
46 Fletching Road,Hackney,London,"",E5 9QR,Block
5-6 Moye Close Plus 95 Goldsmiths Row  Goldsmiths Row,Hackney,LONDON,"",E2 8QR,WalkUpBlock
FLAT 14 ROWAN APARTMENTS  Rowan Apartments,Seven Sisters Road,London,"",N4 1FS,Block
9-15 ODD Wilde Close,Hackney,London,"",E8 4JS,WalkUpBlock
